readlen	start	end	fl	stranded	orig_strand	orig_adapter_config	adapter_config	lab	read_id
126	34	160	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7b8aab7c-6f45-4d71-8349-62ed35b23470_0
548	38	586	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	7b8fb1e7-5ca4-4346-aa09-a9f2a62b45bd_0
195	38	233	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7ba9f05d-731d-4a00-8377-b269bf8ac913_0
265	0	265	False	True	-	adapter1_r	adapter1_f	single_adapter1	7c0e2a5e-9b87-4301-a628-69e9ea165cf9_0
101	47	148	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7c4918b1-689b-4eee-b1d1-46fa0456c0c5_0
115	35	150	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7c8575be-d03c-4074-be30-6ca979af66d8_0
770	0	770	False	True	+	adapter2_f	adapter2_f	single_adapter2	7ccab458-a536-48ed-880b-5cac8ceff460_0
403	41	444	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7d0319ff-8436-42b1-a387-eaec3d0320ec_0
110	58	168	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7d1f6629-a2ba-4495-8879-ec67a55f78f1_0
111	25	136	True	True	-	adapter1_f-adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7d477726-2e0a-4d88-b106-f43bbb84997b_0
1159	36	1195	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7dd67ce0-aa2e-47b2-b7ba-89723a1dd4e0_0
458	30	488	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7e39a6ea-c266-4cc4-9283-900a84732220_0
1199	37	1236	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	7efddef4-1d6c-4b8b-9eb0-937f1bc17815_0
249	26	275	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7f5d1e91-f667-47a8-b983-eb650333b5f8_0
244	37	281	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	7fa0e623-3b94-4f37-bf99-bf96482c4e14_0
496	25	521	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	7fa304e0-aec6-47a6-b6ee-707e78e865eb_0
646	36	682	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	802b7e9f-4126-417b-b1c6-ca64e9efa0c9_0
729	31	760	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	80992fb9-d9ae-4a44-86b2-a13a3f79487d_0
2876	0	2875	False	False	*	*	*	no_adapters	80c1ca8b-47d5-40fb-9ba4-5bd9c5105867_0
652	37	689	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	81b098d7-7c32-475a-ac58-8d8fe74afb38_0
616	34	650	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	82b65354-667f-4a47-9fb8-fadde8318844_0
300	32	332	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	82df853e-e9ed-42ed-9b2d-9cc4ddf60bf1_0
383	39	422	False	True	-	adapter2_r	adapter2_f	single_adapter2	8380aa1d-a052-48d5-ac2f-e156fc72a195_0
439	36	475	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	838326cf-682d-4bd4-a062-851e685e939b_0
672	35	707	False	True	-	adapter2_r	adapter2_f	single_adapter2	83852ead-deba-4e17-903a-6674e717ff98_0
764	41	805	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	83b2e957-bd2d-45a4-bd19-0fde54827fe4_0
794	10	804	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	83c66761-611c-49e7-9e55-35ce6a08890b_0
189	43	232	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	83c891e4-3047-4264-838c-201f98bc5c9b_0
503	39	542	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	8417b7ff-5909-4ba1-89d4-11e28923722e_0
499	40	539	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8446165a-243e-413f-a634-558cc3db6955_0
705	21	726	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	84b3dc09-8b2a-4954-afa5-3414d1f60139_0
97	60	157	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	84e8c2f5-69fe-445b-a559-0f468b948c20_0
694	34	728	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	84f1ca5f-597c-4574-8fd4-452a48ec6d85_0
168	37	205	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	85472580-6791-4037-aacc-94039c84dd6f_0
57	30	87	False	True	+	adapter1_f	adapter1_f	single_adapter1	8578569c-3457-443b-bd50-92072b486873_0
93	34	127	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	85fa604d-2d4c-42e3-ba8a-2f9d6baf1401_0
87	39	126	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	86452dba-d65a-450d-b4ab-04384803f7fd_0
182	34	216	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	86463f26-e5a3-4372-bd80-5c37c5997966_0
409	36	445	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	866d48f6-c5e6-46b0-aea4-5e23ee2856e0_0
264	39	303	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	867c97ea-b8cd-40ec-9294-aa64dd470b5f_0
906	41	947	False	True	-	adapter2_r	adapter2_f	single_adapter2	87259708-323f-4142-b896-d5066c071404_0
498	62	560	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	875a57e7-8a58-44cd-bb2a-9eb9b9573331_0
654	32	686	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	879d83d6-9b57-4c36-99ce-7054a8b2e7cf_0
127	38	165	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	87faf315-8dcc-43fd-bbf7-1acb3ef31be0_0
166	40	206	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	885b8e64-8f5f-4766-8705-edc7187f3de4_0
54	38	92	False	True	-	adapter2_r	adapter2_f	single_adapter2	885c1098-11fd-45c3-b8cb-a65cd2c2dc15_0
118	35	153	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8900eae8-25cf-4e18-948f-dfc12a23011b_0
1002	37	1039	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	89a4c238-bf5c-4685-bd60-1d51a01ca55a_0
181	59	240	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	89a60051-d1c9-4ad8-96a1-25f3f6593a97_0
598	38	636	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	89bde528-6e90-4068-bbf3-808553674df0_0
113	43	156	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	89d7ea23-18b0-4dbe-9fde-05bcd96335ff_0
1252	33	1285	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	89e0f574-437a-4f95-bccb-88e7452e8822_0
812	31	843	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	8a054058-030b-4c54-bb99-6dd5d4243dd5_0
178	31	209	False	True	-	adapter2_r	adapter2_f	single_adapter2	8a0a9096-1bfa-432e-aa39-bd31c839afb9_0
838	43	881	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8a13ae84-76f2-4da7-80c3-f6fea31a4d1e_0
511	0	511	False	True	+	adapter2_f	adapter2_f	single_adapter2	8a3e1d69-c77a-4407-97be-ea067dab1fdb_0
110	38	148	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8a5dcbfd-e290-44e0-92e2-7570c2e9e4bf_0
126	36	162	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8a68e0dc-6d73-44fe-9f2b-7ba19646a8c5_0
188	9	197	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8b3b6ffb-32e3-47f8-8ad2-f06defb806fc_0
509	47	556	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	8b3c8b5a-b7f6-4499-aa85-10be0cdb473d_0
140	62	202	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8b9a8084-e506-4e80-8acc-bf3f27bc2a5b_0
323	31	354	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8bd7f30c-bf30-49ad-8097-076c1310221b_0
457	36	493	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	8bfa1aec-c47e-4e74-b1e3-6604a8fc0949_0
188	35	223	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8c5019bc-00d4-4819-a8e0-714e5f7375c1_0
543	32	575	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	8d4c4c54-fe16-40b1-bcfd-3551f56daa03_0
681	29	710	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8d70c7c3-52ee-4c83-8e3f-21240a7446fd_0
113	31	144	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8d9c2c64-5ac1-4f45-b7e9-47cc802d7796_0
107	38	145	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8da51ec9-4d14-4e7c-b1da-d66bf6fec221_0
162	35	197	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8ddb3d23-d1e9-4b0e-bb8e-cba6ed2a5956_0
95	42	137	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8dedff78-5dcc-44a4-8087-ecb4a99808fe_0
544	30	574	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	8e3bf595-b84d-4285-a635-5b128f64ba2d_0
369	26	395	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8ea39b46-66a2-4881-8af2-ae72c6eb73ba_0
469	35	504	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8ecfd1e4-a358-4a5f-91a8-8beb57ef2d6d_0
764	37	801	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8f034149-9b68-4ac9-b096-a94bc19f2b16_0
124	39	163	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8f86272b-ef90-4a06-bb04-30562d1fb201_0
287	0	287	False	True	+	adapter2_f	adapter2_f	single_adapter2	8fabf7bd-b8e6-4b6d-83fe-da52fb1afb7e_0
117	41	158	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	8fcb0f3a-6bd8-4f1f-8957-ddc148584a2c_0
418	39	457	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	90071b3a-b0ad-43da-8e3b-9caf22727431_0
1059	36	1095	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	902d21d8-c221-4f36-9e0e-bf842e70d65a_0
1006	55	1061	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9036ae30-6f51-4ae3-a9d8-2760a2f229e5_0
607	31	638	True	True	+	adapter1_f-adapter2_f-adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	908b996e-3679-4c0c-a79a-c2ff5bb8989e_0
584	672	1256	True	True	-	adapter1_f-adapter2_f-adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	908b996e-3679-4c0c-a79a-c2ff5bb8989e_1
94	13	107	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	90dc3a1c-11b6-436b-a682-5d54db7cd885_0
